acId,acType,depArpt,time,climb_rate,latitude,longitude,pressure_altitude
SWA3835,B738,SEA,1490839978000,1.2869530786576428E-11,39.266620218968455,-118.65121078006077,37000.0
SWA3835,B738,SEA,1490839990000,1.2869530786576428E-11,39.246878473417894,-118.6347692282853,37000.0
SWA3835,B738,SEA,1490840003000,1.2869530786576428E-11,39.22620211002874,-118.61761000170769,37000.0
SWA3835,B738,SEA,1490840028000,1.2869530786576428E-11,39.18742849388269,-118.5870103116265,37000.0
SWA3835,B738,SEA,1490840040000,1.2869530786576428E-11,39.16847627195588,-118.57244560735458,37000.0
VIR85G,B744,EGCC,1490899130286,0.0,49.51310869112453,-102.18611566939735,38000.0
VIR85G,B744,EGCC,1490899142166,0.0,49.4944765554321,-102.21246112830651,38000.0
VIR85G,B744,EGCC,1490899154256,0.0,49.475508982934684,-102.23925175275579,38000.0
VIR85G,B744,EGCC,1490899166202,0.0,49.45666523094448,-102.26554012507283,38000.0
VIR85G,B744,EGCC,1490899178130,0.0,49.43766815912139,-102.29146640774746,38000.0
VIR85G,B744,EGCC,1490899190054,0.0,49.41846587036986,-102.31700238765507,38000.0
VIR85G,B744,EGCC,1490899201935,0.0,49.39914311590732,-102.34209554527386,38000.0
VIR85G,B744,EGCC,1490899213971,0.0,49.37941948089525,-102.36723347470279,38000.0
WBR2106,C208,MCW,1490884710000,0.0,43.13470509484486,-93.22312305498295,4100.0
WBR2106,C208,MCW,1490884723000,0.0,43.133043906363866,-93.21473383809422,9000.0
WBR2106,C208,MCW,1490884735000,0.0,43.131495504486,-93.207147970504,9000.0
WBR2106,C208,MCW,1490884747000,0.0,43.12995500460681,-93.19979029040657,9000.0
KNITE44,F18H,W291,1490913133000,,33.25421714347158,-115.81552369279785,
KNITE44,F18H,W291,1490913146000,,33.31157971307795,-115.73557159258934,
KNITE44,F18H,W291,1490913158000,,33.35790676413643,-115.66413348357902,
KNITE44,F18H,W291,1490913183000,,33.42955500543164,-115.54629872836043,
NKS904,A320,DFW,1490911458000,-87.79097918365179,33.17565563274562,-91.07058840397998,37025.0
NKS904,A320,DFW,1490911470000,-87.79097918365179,33.16791692135379,-91.04041619188253,37000.0
NKS904,A320,DFW,1490911482000,-87.79097918365179,33.16031395761789,-91.01028084622325,36975.0
NKS904,A320,DFW,1490911495000,-87.79097918365179,33.15183312792365,-90.97706722890926,36950.0
NKS904,A320,DFW,1490911507000,-87.79097918365179,33.14351321146904,-90.94528960689503,36950.0
NKS904,A320,DFW,1490911520000,-87.79097918365179,33.133821060771936,-90.90903133212956,36925.0
NKS904,A320,DFW,1490911532000,-87.79097918365179,33.124233602125,-90.87352100415718,36900.0
NKS904,A320,DFW,1490911545000,-87.79097918365179,33.113355199669684,-90.83309435082384,36875.0
AAL508,A319,LAX,1490896024000,,34.98700000000002,-116.63360000000006,29000.0
AAL508,A319,LAX,1490896049000,,35.00810000000001,-116.6006,29000.0
PDT4929,DH8C,CLT,1490904605296,,35.19551421931584,-80.54008243738781,
PDT4929,DH8C,CLT,1490904635512,,35.19695275165208,-80.50698529956387,
PDT4929,DH8C,CLT,1490904660496,,35.19603606459194,-80.47844155838425,
SU14,C172,GFK,1490916978000,,47.911700000000025,-97.14580000000001,2200.0
SU14,C172,GFK,1490916990000,,47.90890000000002,-97.14080000000001,2200.0
N338LL,SR22,ISP,1490909343240,,41.41437638989052,-75.1060062937056,
N338LL,SR22,ISP,1490909368160,,41.432992975681714,-75.1223328668009,
SKW4745,CRJ2,DTW,1490837931456,,41.86467441281022,-89.210388801887,
SKW4745,CRJ2,DTW,1490837955896,,41.851259332417186,-89.25574465719109,
CUB200,A158,MUHA,1490909708000,,20.0717,-73.6639,31000.0
CUB200,A158,MUHA,1490909770000,,20.0239,-73.5303,31000.0
CUB200,A158,MUHA,1490909833000,,19.9756,-73.3967,31000.0
CUB200,A158,MUHA,1490909895000,,19.94,-73.2606,31000.0
CUB200,A158,MUHA,1490909957000,,19.9097,-73.1233,31000.0
SKW4475,CRJ2,DAY,1490896804630,0.0,40.58450791851476,-84.68603974348453,16900.0
SKW4475,CRJ2,DAY,1490896816516,0.0,40.6006314621157,-84.70065750854546,16900.0
SKW4475,CRJ2,DAY,1490896828957,0.0,40.61750018638145,-84.71620530731445,16900.0
SKW4475,CRJ2,DAY,1490896841224,0.0,40.63429053873159,-84.73175327913654,16900.0
SKW4475,CRJ2,DAY,1490896853267,0.0,40.65122941420569,-84.747151200992,16900.0
SKW4475,CRJ2,DAY,1490896865444,0.0,40.66913492577302,-84.76219817253956,16900.0
SKW4475,CRJ2,DAY,1490896876594,0.0,40.68634911158483,-84.77418105884932,16900.0
SKW4475,CRJ2,DAY,1490896888733,0.0,40.70616451048346,-84.78336023290713,16900.0
SKW4475,CRJ2,DAY,1490896981011,0.0,40.870140560178356,-84.69226937444121,16850.0
SKW4475,CRJ2,DAY,1490896992623,0.0,40.88858238900565,-84.67829560622506,16850.0
UAL654,B739,ORD,1490875899000,,38.94169999999997,-83.69029999999998,35000.0
UAL654,B739,ORD,1490875924000,,38.90749999999997,-83.6922,35000.0
UAL654,B739,ORD,1490875936000,,38.87749999999997,-83.6939,35000.0
N910SE,C172,SBA,1490835835000,0.0,34.25042358768337,-118.60258285796353,3400.0
N910SE,C172,SBA,1490835848000,0.0,34.24647414717674,-118.59308883651832,3400.0
N910SE,C172,SBA,1490835860000,0.0,34.24288142454503,-118.5839597860255,3400.0
N910SE,C172,SBA,1490835873000,0.0,34.239089723035306,-118.57391375478156,3400.0
N910SE,C172,SBA,1490835885000,0.0,34.23581271072908,-118.56498646110704,3400.0
N910SE,C172,SBA,1490835997000,1.082058224578987E-11,34.232298624273255,-118.5000033866773,1700.0
N910SE,C172,SBA,1490836022000,1.082058224578987E-11,34.23153568680232,-118.48780614928941,1700.0
N910SE,C172,SBA,1490836034000,1.082058224578987E-11,34.23116723422703,-118.48179598466156,1700.0
UAL1794,B752,EWR,1490918397000,,38.60079999999999,-110.82999999999997,34000.0
UAL1794,B752,EWR,1490918410000,,38.600599999999986,-110.79940000000002,34000.0
UAL1794,B752,EWR,1490918422000,,38.596100000000035,-110.77059999999993,34000.0
CADDO99,C17,LTS,1490888176000,,32.23128575642539,-102.82901448140808,
CADDO99,C17,LTS,1490888201000,,32.19752569054714,-102.84664193743569,
CADDO99,C17,LTS,1490888214000,,32.17661568328566,-102.85757355835992,
CADDO99,C17,LTS,1490888226000,,32.155882532988784,-102.86839199858775,
CADDO99,C17,LTS,1490888288000,,32.04275976475844,-102.9268854355968,
CADDO99,C17,LTS,1490888301000,,32.02302384447921,-102.93730281848715,
CADDO99,C17,LTS,1490888326000,,31.991723240031575,-102.9538276918307,
N280SD,G280,SAV,1490877964992,0.0,32.09818820762544,-81.12050454329427,4600.0
N280SD,G280,SAV,1490877976878,0.0,32.10462870123189,-81.10437058385358,5800.0
N280SD,G280,SAV,1490877989048,0.0,32.11582554657102,-81.09136261304472,7000.0
N280SD,G280,SAV,1490878000054,3810.2910564815693,32.12875862289172,-81.08363045254072,8159.315041776396
N280SD,G280,SAV,1490878012845,3810.2910564815697,32.145549070815264,-81.07917100369896,8971.605590167326
N280SD,G280,SAV,1490878023828,969.6527963639629,32.160631768194094,-81.07799490805105,9635.637289034661
N280SD,G280,SAV,1490878035874,969.6527963639629,32.17756302920682,-81.07808997359564,9830.311248784665
N280SD,G280,SAV,1490878048481,969.6527963639629,32.19561201755266,-81.07860432690738,10034.051462180672
N548M,E135,IND,1490917241200,,39.96976644301415,-86.8996446670565,
N548M,E135,IND,1490917265448,,39.980676031179115,-86.94012682323515,
N548M,E135,IND,1490917283712,,39.99149389484316,-86.97257413681712,
N62RC,EA50,LYH,1490903316648,,37.441951705632334,-79.25510345558297,
N62RC,EA50,LYH,1490903335312,,37.43824781669821,-79.27298833032086,
N62RC,EA50,LYH,1490903353400,,37.4341910134342,-79.29360573957362,
N62RC,EA50,LYH,1490903376808,,37.42732522433761,-79.324007352743,
N62RC,EA50,LYH,1490903395264,,37.4228939636574,-79.34775721236218,
N62RC,EA50,LYH,1490903413672,,37.418576154682455,-79.3728090190001,
N62RC,EA50,LYH,1490903431912,,37.41433684073996,-79.39658616875343,
N62RC,EA50,LYH,1490903450256,,37.40984209174479,-79.42196958838456,
N62RC,EA50,LYH,1490903473648,,37.40472241590476,-79.45317290392146,
SKW4693,CRJ9,MSP,1490904292000,1392.152487974548,43.20837698219947,-94.69257323576925,29549.258279553247
SKW4693,CRJ9,MSP,1490904304000,1392.152487974548,43.18649632447398,-94.71373210748354,29827.688777148156
SKW4693,CRJ9,MSP,1490904316000,1392.1524879745477,43.164846319718066,-94.735449096019,30106.11927474306
SKW4693,CRJ9,MSP,1490904329000,1392.152487974548,43.14092047851332,-94.7600413029338,30407.75231380422
SKW4693,CRJ9,MSP,1490904341000,1392.152487974548,43.11776749486529,-94.78417801186359,30686.18281139913
SKW4693,CRJ9,MSP,1490904354000,0.0,43.09103845856791,-94.81216050161345,30700.0
SKW4693,CRJ9,MSP,1490904366000,0.0,43.06466632880279,-94.8395482184995,30700.0
CLX775,B748,IAH,1490850145000,,29.954399999999993,-95.28079999999997,1400.0
CLX775,B748,IAH,1490850157000,,29.969700000000017,-95.2867,1900.0
CLX775,B748,IAH,1490850181000,,29.97969999999998,-95.2828,2100.0
DPJ70,C56X,BCT,1490908724000,,32.266099999999994,-81.11560000000009,39000.0
DPJ70,C56X,BCT,1490908749000,,32.2953,-81.1111,39000.0
N9131K,P28A,UKT,1490901422360,,40.4223695379101,-75.44425579790085,
N9131K,P28A,UKT,1490901452496,,40.416424302773464,-75.45383882120949,
N9131K,P28A,UKT,1490901477536,,40.40559141752058,-75.45592339554587,
N9131K,P28A,UKT,1490901482488,,40.40346634100206,-75.45602944262555,
N9131K,P28A,UKT,1490901507400,,40.392402889201236,-75.45848702420867,
N9131K,P28A,UKT,1490901537344,,40.37925857680128,-75.46053022829786,
N9131K,P28A,UKT,1490901567208,,40.363781201683935,-75.46447912039818,
AIE533,BE10,CYKL,1490885961000,,54.5,-66.7167,10100.0
AIE533,BE10,CYKL,1490886021000,,54.4333,-66.7333,10100.0
AIE533,BE10,CYKL,1490886082000,,54.3667,-66.7333,10100.0
AIE533,BE10,CYKL,1490886142000,,54.3,-66.7333,10100.0
AIE533,BE10,CYKL,1490886202000,,54.2333,-66.75,10100.0
GAJ721,F900,APA,1490892975752,,39.66346451143764,-106.0714948583962,
GAJ721,F900,APA,1490892981672,,39.661716154456116,-106.0815055783656,
GAJ721,F900,APA,1490892987752,,39.659910055381744,-106.09255452316883,
GAJ721,F900,APA,1490892993680,,39.65806012252861,-106.10413936123955,
GAJ721,F900,APA,1490892999752,,39.656243425883616,-106.11681202543481,
TWEET90,TEX2,CBM,1490911650000,,33.631399999999985,-88.71059999999999,2600.0
TWEET90,TEX2,CBM,1490911663000,,33.65190000000001,-88.70830000000001,2600.0
TWEET90,TEX2,CBM,1490911675000,,33.669700000000006,-88.70669999999996,2600.0
ABX3104,B762,ILN,1490891312007,2425.102036745929,39.019808411951914,-83.93610626437662,16395.762212301346
ABX3104,B762,ILN,1490891324648,2425.1020367459287,39.0006689645721,-83.93648695323544,16906.690793076432
ABX3104,B762,ILN,1490891336609,2425.102036745929,38.982471409896846,-83.93565121264696,17390.134884101735
ABX3104,B762,ILN,1490891361562,2425.102036745929,38.944389976780684,-83.93151585875269,18398.69440281709
ABX3104,B762,ILN,1490891379067,188.64641134830788,38.91752311232119,-83.92994201352393,18469.249026430905
ABX3104,B762,ILN,1490891394108,188.64641134830788,38.89440832295804,-83.92924210606517,18516.53953764907
DEVIL11,F16,KACY,1490885472000,-1597.943034169861,39.250060799770495,-73.8767283816322,7240.877544768134
DEVIL11,F16,KACY,1490885485000,-1597.943034169861,39.24807456531005,-73.90806979746556,6894.65655403133
DEVIL11,F16,KACY,1490885497000,-1597.943034169861,39.25244397337133,-73.93575935205507,6575.067947197358
DEVIL11,F16,KACY,1490885509000,-1597.943034169861,39.25973024715478,-73.961081002748,6255.479340363387
DEVIL11,F16,KACY,1490885534000,2.640881467657642E-11,39.275404833572566,-74.01110820386735,5600.0
DEVIL11,F16,KACY,1490885547000,2.640881467657642E-11,39.28333325799045,-74.03889610705136,5600.0
DEVIL11,F16,KACY,1490885559000,2.640881467657642E-11,39.29111452778855,-74.06689557435024,5600.0
DPJ1968,G150,DTW,1490908659078,0.0,39.08037340513107,-84.16523418320139,43000.0
DPJ1968,G150,DTW,1490908671940,0.0,39.05845435555085,-84.17329474207087,43000.0
DPJ1968,G150,DTW,1490908684181,0.0,39.03738320694055,-84.18012170684167,43000.0
DPJ1968,G150,DTW,1490908695976,0.0,39.0170116099965,-84.18648634068211,43000.0
DPJ1968,G150,DTW,1490908708344,0.0,38.995677068538555,-84.1934281184908,43000.0
DPJ1968,G150,DTW,1490908720418,0.0,38.974867311790206,-84.20038833789695,43000.0
DPJ1968,G150,DTW,1490908737499,0.0,38.94534017636485,-84.2098785324227,43000.0
DPJ1968,G150,DTW,1490908752565,0.0,38.919200676884714,-84.21778835351833,43000.0
RAID81,C130,CVS,1490840144000,-324.2703554374718,36.27596128413285,-105.31349389951791,10883.212800952508
RAID81,C130,CVS,1490840156000,-324.2703554374718,36.265470984782496,-105.30045374936242,10818.358729865013
RAID81,C130,CVS,1490840168000,-324.2703554374717,36.25394592810761,-105.28901915595509,10753.504658777516
RAID81,C130,CVS,1490840181000,-324.2703554374718,36.24165653670167,-105.276508026195,10683.246081766067
RAID81,C130,CVS,1490840193000,-1464.0132270115653,36.23085604648432,-105.26398631524087,10404.212151212241
RAID81,C130,CVS,1490840205000,-1464.0132270115653,36.2204311423414,-105.25044837541238,10111.409505809928
RAID81,C130,CVS,1490840218000,0.0,36.20923816647286,-105.23463209368741,9800.0
RAID81,C130,CVS,1490840230000,0.0,36.1978950830613,-105.2199159859637,9800.0
RAID81,C130,CVS,1490840242000,0.0,36.185527216944905,-105.20493217920591,9800.0
RAID81,C130,CVS,1490840255000,0.0,36.171240116457824,-105.18831540245945,9800.0
RCA242,C402,BIL,1490885466000,,47.55080000000001,-106.30720000000002,9000.0
RCA242,C402,BIL,1490885478000,,47.558899999999966,-106.2969,9000.0
NKS605,A320,DTW,1490872752000,,38.9203,-84.1114,36000.0
NKS605,A320,DTW,1490872765000,,38.89059999999998,-84.10859999999998,36000.0
N656SC,BE58,GYI,1490902398000,,39.536400000000015,-103.14640000000009,8000.0
N656SC,BE58,GYI,1490902410000,,39.546100000000024,-103.14860000000004,8000.0
N656SC,BE58,GYI,1490902422000,,39.55669999999998,-103.14859999999999,8000.0
GECKO33,C27J,VPS,1490899247000,,30.384499999999946,-86.73939999999997,1200.0
GECKO33,C27J,VPS,1490899260000,,30.375599999999963,-86.73190000000001,1200.0
GECKO33,C27J,VPS,1490899285000,,30.367500000000007,-86.72560000000001,1200.0
BLZR243,HAWK,NQI,1490902172000,-2773.2505294383127,27.401838822889914,-97.81004770762678,2494.159779911526
BLZR243,HAWK,NQI,1490902184000,-2773.2505294383127,27.420506144827954,-97.8106514165499,1939.5096740238635
BLZR243,HAWK,NQI,1490902197000,-2773.2505294383127,27.439814537176034,-97.81088693595571,1338.6387259788958
BLZR243,HAWK,NQI,1490902209000,-2773.2505294383127,27.4567113220574,-97.81084398304263,783.9886200912329
BLZR243,HAWK,NQI,1490902222000,-8.132186676451842E-13,27.474105544465175,-97.81262190015782,750.0
BLZR243,HAWK,NQI,1490902234000,-8.132186676451842E-13,27.488665423117055,-97.81893581180728,750.0
BLZR243,HAWK,NQI,1490902247000,0.0,27.502035869065907,-97.83071812126931,800.0
BLZR243,HAWK,NQI,1490902259000,0.0,27.51204043585429,-97.84603469972943,800.0
BLZR243,HAWK,NQI,1490902271000,0.0,27.521593289128987,-97.86293773110849,800.0
BLZR243,HAWK,NQI,1490902284000,0.0,27.534552037372663,-97.8819568584945,800.0
AUDI11,TOR,HMN,1490907078000,0.0,32.908000925378246,-106.14232372972879,5600.0
AUDI11,TOR,HMN,1490907103000,0.0,32.92049670959079,-106.12503302336947,5600.0
AUDI11,TOR,HMN,1490907116000,0.0,32.93317567497908,-106.10779001542149,5600.0
AUDI11,TOR,HMN,1490907128000,0.0,32.948156223545595,-106.08801803339036,5600.0
N350SM,B350,DAL,1490882332400,,32.576260077411405,-96.7998790530587,
N350SM,B350,DAL,1490882362512,,32.54214243758247,-96.7950896980866,
N645AT,C208,PAEN,1490841087000,,60.6,-151.1833,1400.0
N645AT,C208,PAEN,1490841207000,,60.65,-151.0667,0.0
N645AT,C208,PAEN,1490841267000,,60.6667,-151.0,0.0
JBU2289,A320,DTW,1490880987000,,38.901400000000024,-83.90499999999997,36000.0
JBU2289,A320,DTW,1490880999000,,38.87190000000004,-83.90469999999999,36000.0
DAL1604,B739,DTW,1490876210000,0.0,38.97683514595647,-83.9924609234513,33000.0
DAL1604,B739,DTW,1490876222000,0.0,38.95668362202787,-83.99120111528954,33000.0
DAL1604,B739,DTW,1490876247000,0.0,38.91399853421029,-83.9880196963079,33000.0
DAL1604,B739,DTW,1490876259000,0.0,38.89074889224423,-83.98628329823184,33000.0
N7AS,BE33,FCI,1490914437200,,38.23872394299477,-81.84815934283723,
N7AS,BE33,FCI,1490914467200,,38.24482887999656,-81.87564710299529,
N956HC,C25A,FSD,1490897283000,164.74523573460613,42.72210598350355,-95.28572308284988,29213.317890427712
N956HC,C25A,FSD,1490897295000,164.74523573460613,42.70385862932875,-95.25922803333327,29246.266937574634
N956HC,C25A,FSD,1490897308000,164.74523573460613,42.68406294162875,-95.23237451390398,29281.961738650465
N956HC,C25A,FSD,1490897320000,164.74523573460613,42.66579734013604,-95.20868819172622,29314.910785797387
WBR2107,C208,ORD,1490895667568,,41.96382596731743,-87.87313230127732,
WBR2107,C208,ORD,1490895692512,,41.97392272423076,-87.86737349720535,
WBR2107,C208,ORD,1490895697500,,41.97664540165721,-87.86733342247538,
WBR2107,C208,ORD,1490895722460,,41.991114936700825,-87.88059866824433,
WBR2107,C208,ORD,1490895752400,,42.00399795292961,-87.89963078705789,
